"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"x1eq","Bear Baby Spicy Fragrant Pot (AMK Hub)","Mala Xiang Guo","4.4","(500+)","Singapore",""
"lh16","Popeyes (The Woodleigh Mall)","Fried Chicken","4.3","(100+)","Singapore",""
"h3ic","Beans.Factory (Woodleigh Mall)","Dessert","4.6","(84)","Singapore",""
"arho","Time for Thai (The Woodleigh Mall)","Thai","4.7","(62)","Singapore",""
"mdf4","NEW AL-KHADIJA (Ang Mo Kio)","Indian","4.3","(24)","Singapore",""
"s4fs","Blackball (Bugis)","Dessert","4.5","(2000+)","Singapore",""
"x3ao","Zhenyi Veggie Place (Ang Mo Kio)","Seafood","4.5","(1000+)","Singapore",""
"jz95","Swee Choon Tim Sum (AMK Express)","Dim Sum ","4.7","(500+)","Singapore",""
"lun8","Mun Ting Xiang Cha Xuan (AMK) - Islandwide Delivery","Chinese","3.1","(21)","Singapore",""
"ou0a","Liang Zai Mala 靓仔麻辣 (Geylang Bahru)","Chinese","4.2","(56)","Singapore",""
"v6mb","Bread, Beer & Brez'n (Phoenix Park)","German","3.8","(100+)","Singapore",""
"q10c","Kjjong-9 Korean Fried Chicken Kjjong-9 韩式炸鸡店 (Foodfare AMK Hub)","Korean","3.9","(100+)","Singapore",""
"en5r","Big Prawn Noodle 皇家山大虾 (AMK HUB)","Asian","3.6","(2)","Singapore",""
"f3tk","Al Hossain Biryani House (Tampines)","Indian","4.3","(65)","Singapore",""
"xqkf","XIANG XIANG NOODLE RESTAURANT (51 Bras Basah Rd)","Chinese","3.9","(17)","Singapore",""
"fbp5","GOPIZZA (LAZADA ONE)","Fast Food","4.1","(14)","Singapore",""
"w0ao","HAO JIA BAN MIAN (Lazada One)","Chinese","2.9","(19)","Singapore",""
"f7fr","Jyu Gae Bistro 齊聚酒閣 (Lazada One)","Dessert","4.7","(12)","Singapore",""
"m0eb","New ManLee (Bugis+)","Bak Kut Teh","4.1","(27)","Singapore",""
"t4wd","Da Paolo Pasta Bar (Great World City)","Pasta","4.2","(100+)","Singapore",""
"k8uq","Rong Liang Ge (Queen Street)","Chinese","4.3","(500+)","Singapore",""
"y3a5","Poulet (Woodleigh Mall)","French","4.8","(37)","Singapore",""
"pgof","HANAMARUKEN RAMEN SINGAPORE (Lazada One)","Japanese","4.5","(27)","Singapore",""
"pjqa","Pizza 99 (Arab Street)","Pizza","5","(1)","Singapore",""
"mbri","Da Paolo Pizza Bar (Great World City) - Islandwide Delivery","Pizza","4.9","(45)","Singapore",""
"tpxr","Nge-Teh Indonesian Snacks (North Bridge Road)","Indonesian","4.5","(40)","Singapore",""
"mzya","Big Pasta Small Pasta (Ang Mo Kio)","Pasta","4.5","(100+)","Singapore",""
"vf66","1A Heritage (Great World City)","Curry","4.8","(100+)","Singapore",""
"x5jl","Grill Ninety Nine (Arab Street)","Western","4.5","(100+)","Singapore",""
"vfhv","Oriental Fried Skewers 东方美食炸串 (New Bugis Street)","Asian","2.2","(2)","Singapore",""
"x2nn","Saladstop! (Great World City)","Salads","4.6","(500+)","Singapore",""
"x6hc","Chix Hot Chicken (Kampung Bugis)","Burgers","4.5","(100+)","Singapore",""
"x9ld","Dough Culture (AMK Hub)","Snacks","4.6","(500+)","Singapore",""
"eyzf","Lau Wang Claypot Delights (Victoria St) - Islandwide Delivery","Chinese","4.1","(5)","Singapore",""
"i5d7","Hollin (Woodleigh Mall)","Beverages","4.3","(48)","Singapore",""
"j98g","moments' by JWS Grille Factory (Serangoon)","Western","4.2","(1000+)","Singapore",""
"ejyl","Pasta 99 (Arab Street)","Italian","3.6","(4)","Singapore",""
"upb3","Avocadoria (Ang Mo Kio)","Beverages","5","(49)","Singapore",""
"v7xa","Anzu (Great World City)","Japanese","4.8","(100+)","Singapore",""
"t9cf","Churros Factory (Arab Street)","Dessert","4.6","(14)","Singapore",""
"nntb","Cafe O Singapore (Bugis Village)","Singaporean","3.9","(4)","Singapore",""
"y6fs","Una Una (Bugis+)","Sushi","4.6","(100+)","Singapore",""
"v6ma","Qq Noodle House (Bugis City Hall)","Noodles","4.4","(500+)","Singapore",""
"lhke","All day breakfast cafe 21  (Arab Street)","Western","4.6","(35)","Singapore",""
"vj5t","Seremban Kee Mei Siew Pow (Ang Mo Kio)","Singaporean","5","(1)","Singapore",""
"akon","Pontian Wanton Noodles (Ang Mo Kio)","Chinese","4.3","(100+)","Singapore",""
"c394","Inside Scoop (779 North Bridge Rd) - Islandwide Delivery","Dessert","5","(2)","Singapore",""
"w9hd","The Ramen Stall (North Bridge Road)","Japanese","4","(100+)","Singapore",""
"nrd8","Pratunam Plus (201 Victoria St) - Islandwide Delivery","Thai","3.3","(2)","Singapore",""
"v5uo","Afterwit (North Bridge Road)","Snacks","4","(36)","Singapore",""
"zshx","moments' toast by JWS Grille Factory (Serangoon)","Bakery","4.6","(100+)","Singapore",""
"gimo","That Skewer Bar 辣个串吧 (Great World City)","Asian","4.3","(55)","Singapore",""
"n7v3","Little Teahouse by Soup Restaurant (Bugis Village)","Chinese","4.5","(4)","Singapore",""
"g3i1","World Tea House (Bedok Town Centre)","Bubble Tea","4.9","(100+)","Singapore",""
"e7ad","Auntie Anne's Soft Pretzels (AMK Hub)","Bakery","4.8","(100+)","Singapore",""
"iqej","FIC (Ang Mo Kio)","Noodles","4.8","(19)","Singapore",""
"x9js","Chow Zan (Arab Street)","Dessert","4.6","(100+)","Singapore",""
"gihv","Chicky Fun (Great World City)","Chicken Rice","4.7","(4)","Singapore",""
"do3v","Malaysia Boleh (Great World City) - Islandwide Delivery","Malaysian","4.4","(75)","Singapore",""
"y8bx","WOK HEY (Bugis Junction)","Fried Rice","4.7","(500+)","Singapore",""
"s2qh","TCC - The Connoisseur Concerto (Great World City)","Pasta","4.5","(100+)","Singapore",""
"y5wm","Ryan's Kitchen (Great World City)","Pasta","3.1","(25)","Singapore",""
"pfnj","Home Fiesta (AMK Hub)","Asian","4.8","(22)","Singapore",""
"icy6","Crab Cartel (Bugis Junction)","Fast Food","2.1","(4)","Singapore",""
"y6uh","Beard Papa's (Great World)","Dessert","4.9","(100+)","Singapore",""
"s3ml","Miam Miam (Bugis Junction)","Pasta","4.6","(100+)","Singapore",""
"hgxu","Futoru (Great World City)","Fried Chicken","4.3","(100+)","Singapore",""
"rdbk","THE WERKX CAFE (River Valley)","Sandwiches","4.5","(9)","Singapore",""
"j55j","Grace Espresso (Loft@Nathan)","Coffee","4.6","(30)","Singapore",""
"h23l","Teck Seng Bee Claypot Rice (Serangoon Avenue 2) - Islandwide Delivery","Chinese","4.5","(15)","Singapore",""
"dap0","Backyard Griller (Bidadari)","Western","4.4","(100+)","Singapore",""
"x6tc","Singapore Zam Zam Restaurant (North Bridge Road)","Indian","4.5","(1000+)","Singapore",""
"x5cq","Huey Peng Hiang Chilli Pan Mee & XiaoLongBao (Sembawang Hills Food Centre)","Ban Mian","4.6","(100+)","Singapore",""
"fx96","Tajimaya Yakiniku (Great World)","Japanese","2.9","(19)","Singapore",""
"b11t","Viet Taste Vietnamese Restaurant (Food Junction - Great World)","Noodles","4.7","(500+)","Singapore",""
"ut4k","All The Batter - Avocado Foods (Great World) - Islandwide Delivery","Beverages","5","(3)","Singapore",""
"vv9o","Tori Sanwa (Great World City)","Japanese","2.8","(21)","Singapore",""
"y5ay","Al Tasneem Restaurant (North Bridge Road)","Indian","4.2","(100+)","Singapore",""
"v2oe","Thus Coffee (Bishan)","Western","4.7","(500+)","Singapore",""
"y9tf","Nam Kee Pau (Bugis Junction)","Chinese","4.3","(30)","Singapore",""
"mpgx","Juu Don (Great World City)","Japanese","3.4","(7)","Singapore",""
"y8xv","Ramen Champion (Bugis+)","Ramen","4.5","(100+)","Singapore",""
"x5kj","Black Society Dimsum Kitchen (Great World City)","Chinese","3.8","(100+)","Singapore",""
"jf12","A-mor Turkish Kebab (North Bridge Road) - Islandwide Delivery","Shawarma","4.9","(4)","Singapore",""
"u9nb","Al Ahamed Briyani House (326 Serangoon Ave 3) - Islandwide Delivery","Indian","3.8","(2)","Singapore",""
"nlgf","B For Bagel (Great World City)","Bakery","5","(39)","Singapore",""
"f7dr","Keedo Keedo (732 North Bridge Road)","4945 min","5","(1)","Singapore",""
"ot5t","Finest SongKee's Fishball Noodle (532 Upper Serangoon Rd) - Islandwide Delivery","Noodles","4.5","(65)","Singapore",""
"zhgf","Sha Xian story (774 North Bridge)","Chinese","4.9","(9)","Singapore",""
"cb2f","A Thing Or Two (Serangoon Ave 2)","Dessert","5","(1)","Singapore",""
"e95t","Fortune Luck 食运 东北菜 . 烧烤 (Textile Centre)","Asian","5","(27)","Singapore",""
"p0pb","Kokonoka Ryori (North Bridge Road)","Japanese","4.7","(100+)","Singapore",""
"rl84","Rumah Makan Minang (18A Kandahar Street) - Islandwide Delivery","Indonesian","4.8","(13)","Singapore",""
"xfb1","88 K Town Restaurant (Bugis Junction)","International","1","(1)","Singapore",""
"x9rc","Squisito (Arab Street)","Italian","4.2","(100+)","Singapore",""
"ahl0","KULON (Bali Lane)","Malaysian","4.9","(100+)","Singapore",""
"qm7z","Flipper's Singapore (Bugis)","Dessert","4.8","(11)","Singapore",""
"v2hg","IndoChili (Zion Road)","Indonesian","4.5","(500+)","Singapore",""
"l99l","Crystal Jade La Mian Xiao Long Bao (Bugis Junction) - Islandwide Delivery","Chinese","4.4","(68)","Singapore",""
"i1vu","Ajisen (Bugis Junction)","Japanese","4.2","(100+)","Singapore",""
"v9om","Eighteen Chefs (Bugis Junction)","Western","4.6","(500+)","Singapore",""
"c989","CGL Kitchen 百姓厨房 (River Valley Road)","Asian","2.9","(9)","Singapore",""
"w929","Tajine Moroccan Tapas & Cocktail Bar (Mohamad Sultan Road)","French","5","(1)","Singapore",""
"prdw","My Seremban Beef Noodles (Bugis Junction)","Noodles","4.5","(17)","Singapore",""
"f2z8","Niu Dian X Palace Tea (200 Victoria St)","Chinese","4.7","(8)","Singapore",""
"w90l","House of Malaysia (Jalan Sultan)","Asian","1.9","(2)","Singapore",""
"x5ww","Onalu (Bagel House)","Bakery","4.8","(100+)","Singapore",""
"el0c","UPTOWN (Zion Rd)","Western","4.8","(6)","Singapore",""
"x1jr","147 Seafood Steamboat (Serangoon Avenue 2)","Seafood","4.4","(100+)","Singapore",""
"v6t4","CAVA Cafe (Jalan Gelenggang)","Pasta","4.3","(36)","Singapore",""
"hw6m","Honguo (Bugis Junction) - Islandwide Delivery","Chinese","5","(1)","Singapore",""
"s2gt","Feng Ji Chicken Rice (River Valley Road)","Chicken Rice","4.7","(2000+)","Singapore",""
"c9ab","Kns Suriya (Upper Serangoon Road)","Indian","4.1","(100+)","Singapore",""
"u8ow","Brew & Co. (716 Ang Mo Kio)","Coffee","4.9","(21)","Singapore",""
"zayx","Jln Tuakong Ah Lim Mee Pok (Bugis MRT)","Chinese","3.4","(44)","Singapore",""
"n4gt","MADD PIZZA (Haji Lane)","Pizza","4.4","(100+)","Singapore",""
"z8tf","Al-Sahira Restaurant (Ang Mo Kio)","Asian","3.8","(100+)","Singapore",""
"bikk","ABC (Jalan Sultan)","Indian","4.2","(13)","Singapore",""
"ixfo","Yong Fa Pig Organ Soup (Ang Mo Kio)","Soups","3.8","(100+)","Singapore",""
"fdi0","Xiao La Jiao 小辣椒 (Sultan Plaza)","Chinese","3.8","(30)","Singapore",""
"orbc","Tandoor and Kebab Nation (23 Baghdad St) - Restaurant Delivery","Mediterranean","2.7","(32)","Singapore",""
"y4nt","Jin Jin Super Mala Fragrant Hotpot (North Bridge Road)","Mala Xiang Guo","4.3","(100+)","Singapore",""
"rzip","A1 Boneless Chicken Rice (Ang Mo Kio Avenue 6)","Chicken Rice","4.1","(26)","Singapore",""
"ccb7","Yao Ji (City Hall Central)","Asian","2.9","(5)","Singapore",""
"u8lr","Josh's Grill (Bugis Junction)","Western","4.1","(100+)","Singapore",""
"najc","711 Xin Fa Zhu Chao","Rice Dishes","4.3","(30)","Singapore",""
"uan5","Hummus & Tandoor (Egyptian & Indian Cuisine) - Restaurant Delivery","Indian","3.5","(100+)","Singapore",""
"yycz","Momolato Cafe (Haji Lane)","Pancakes and Waffles","4.9","(36)","Singapore",""
"spk3","Mavi Restaurant & Grill (17 Baghdad St) - Restaurant Delivery","Middle Eastern","3.5","(62)","Singapore",""
"w4qx","Abang Gemuk (Ang Mo Kio)","Western","4.6","(1000+)","Singapore",""
"z4fw","SSAK3 Korean BBQ & Bistro (Bras Basah Complex)","Korean","4.7","(100+)","Singapore",""
"zjw5","Phat Burger Bro. (Valley Point)","Burgers","4.2","(100+)","Singapore",""
"w3in","Heng Heng Herbal Soup 446 AMK (446 AMK Ave10)","Soups","4.5","(1000+)","Singapore",""
"y9ix","MAKAN MATTERS (Jalan Sultan)","Nasi Lemak","4.6","(2000+)","Singapore",""
"y3rf","Zi Char Jin Jin Eating House (North Bridge Road)","Chinese","3.9","(20)","Singapore",""
"gcao","Li Jie Grilled Fish (Ang Mo Kio)","Chinese","4.1","(92)","Singapore",""
"te50","Laksa Fans by JWS Grille Factory (Jubilee Square)","Malaysian","4.2","(38)","Singapore",""
"ckgt","Pasha Mezza and Grill (Arab Street)","Turkish","4.1","(82)","Singapore",""
"y4iz","Ippudo Ramen (River Valley)","Japanese","4.3","(100+)","Singapore",""
"z9ry","Hen Le Shan 很乐山 (Tan Quee Lan)","Chinese","5","(33)","Singapore",""
"sh0e","Spices & Curries (Ang Mo Kio)","Indian","4.4","(1000+)","Singapore",""
"w9wk","Poke Theory (DUO Galleria)","Rice Dishes","4.5","(500+)","Singapore",""
"s4hw","Beirut Grill (Bussorah Street)","Indian","4.6","(100+)","Singapore",""
"h0xf","JJ SIZZLING POT (Liang Seah Street)","Chinese","4.5","(19)","Singapore",""
"ftit","Overrice (Arab Street)","Rice Dishes","4","(100+)","Singapore",""
"ly8f","Mayflower Pig's Organ Soup & Chilli Pan Mee (Mayflower Market And Food Centre)","Soups","4.6","(100+)","Singapore",""
"d2md","Sap Ubon Thai Cuisine (462 AMK Ave 10)","Thai","2.6","(7)","Singapore",""
"yk1v","Piedra Negra (Haji Lane)","Mexican","4.7","(60)","Singapore",""
"tywy","La Pasteleria Kitchen and Bar (Clemenceau Avenue)","Spanish","3.9","(42)","Singapore",""
"rr5y","La Xiao Chuan 辣小串烧烤 (City Gate)","Chinese","3.1","(19)","Singapore",""
"s3yf","Fat Bird Chicken HotPot (Liang Seah)","Chinese","4.1","(500+)","Singapore",""
"ay6u","Dessert Gallery Pte Ltd (Liang Seah St.)","Dessert","2.6","(24)","Singapore",""
"t1mx","Craftsmen Specialty Coffee (Mohamed Sultan)","Coffee","4.8","(100+)","Singapore",""
"jrjx","LIUZHOUNVXU 螺蛳粉火锅 (1 Liang Seah)","Chinese","4.7","(67)","Singapore",""
"y6tg","Xin Feng Seafood (Ang Mo Kio)","Chinese","4.1","(100+)","Singapore",""
"x555","MiMi.c Cafe (North Bridge Road)","Dessert","5","(2)","Singapore",""
"j35f","Kuya's Kusinang Pinoy (North Bridge Centre)","Filipino","4.9","(100+)","Singapore",""
"s5vs","A1 Indian Curry North Indian & Lebanese Food (Pahang Street)","Indian","2.8","(100+)","Singapore",""
"w8nj","Lao Ban Soya Beancurd (Serangoon)","Dessert","4.4","(100+)","Singapore",""
"x4eb","Grounded by Common Man Coffee Roasters (Martin Road)","Coffee","4.8","(100+)","Singapore",""
"x1do","Moc Quan (UE Square Shopping Mall)","Vietnamese","4.6","(100+)","Singapore",""
"bifz","Punjaby Dawat (Bali Lane)","Snacks","2.5","(7)","Singapore",""
"q5ow","Home Taste Fusion Cuisine 峰味中西餐料理 (Liang Seah Street)","Chinese","5","(3)","Singapore",""
"dxpr","NKS RESTAURANT (179 MACPHERSON RD) - Islandwide Delivery","Indian","4.1","(13)","Singapore",""
"y7gt","Curry Xi Shi (AMK)","Curry","4.2","(100+)","Singapore",""
"y8gs","Bakalaki Greek Taverna (Martin Road)","Greek","4.5","(1000+)","Singapore",""
"w0ol","Thai-licious Boat Noodles (Liang Seah Street)","Thai","4.4","(100+)","Singapore",""
"q2ma","Canton Paradise (NEX)","Chinese","4.3","(1000+)","Singapore",""
"lngv","Seoul Shiok (Ang Mo Kio) - Islandwide Delivery","Korean","4.8","(67)","Singapore",""
"x6nb","El Carbon® (721 Ang Mo Kio)","Pasta","4.6","(1000+)","Singapore",""
"klwk","Donburi No Tatsujin (Food Loft Ang Mo Kio Avenue 8)","Rice Dishes","4.5","(100+)","Singapore",""
"mzub","Ah Ying Lao Huo Tang阿英老火汤 (Upper Boon Keng Road)","Soups","4.8","(22)","Singapore",""
"v1vx","Botanica (City Gate Mall)","Beverages","4.8","(53)","Singapore",""
"rwcw","168 Homemade Wanton Noodles 我家面 (Upper Boon Keng Market & Food Centre)","Noodles","3.8","(3)","Singapore",""
"d6ds","Xin Kee Hainanese Chicken Rice (Upper Boon Keng Market & Food Centre)","Chicken","4.8","(100+)","Singapore",""
"swd9","Hannibal European Grill & Bar (Robertson Walk)","Pizza","2.8","(28)","Singapore",""
"xrev","Éla Greek (Jalan Sultan)","Wraps","5","(3)","Singapore",""
"s1rt","Shin Minori Japanese Restaurant (Clemenceau Avenue)","Japanese","4.6","(100+)","Singapore",""
"ydeg","Seoul Hearty (Ang Mo Kio)","Korean","4.5","(20)","Singapore",""
"i4nl","&Joy Japanese Food Street (NEX)","Japanese","4.3","(100+)","Singapore",""
"pejd","No.17 Japanese & Korean Cuisine (Beach Road)","Korean","4.4","(4)","Singapore",""
"z4iv","Shabu-GO (NEX)","Japanese","3.8","(3)","Singapore",""
"s8cu","Dessert First (Liang Seah Street)","Dessert","4.8","(500+)","Singapore",""
"tbc3","Sichuan Tianfu Restaurant 天府川菜 (337 Beach Road)","Chinese","4.6","(14)","Singapore",""
"w2hl","Jason Niang Dou Fu (Beach Road)","Singaporean","4.8","(500+)","Singapore",""
"u8rk","Ramen KIOU (NEX)","Ramen","4","(64)","Singapore",""
"pzmb","Alley Malatang 老街称盘麻辣烫 (Liang Seah)","Snacks","3.8","(100+)","Singapore",""
"y0tx","Almost Famous Craft Beer Bar (30 Victoria Street)","Western","5","(2)","Singapore",""
"yu8d","Cornerstone Pasta & Grill (Ang Mo Kio)","Italian","4.4","(100+)","Singapore",""
"v3bl","Ah Gu Kaka Wa (Djitsun Mall)","Chinese","4.7","(100+)","Singapore",""
"b0dq","Yaki Yaki Bo (NEX)","Japanese","4.7","(87)","Singapore",""
"z44z","118 Commonwealth Seafood (Commonwealth Crescent)","Chinese","4.3","(100+)","Singapore",""
"rh7p","Soon Tofu (AMK) - Islandwide Delivery","Korean","5","(9)","Singapore",""
"w0md","Lewu Cafe (Bukit Timah Road)","Thai","4.5","(100+)","Singapore",""
"y8qc","Hajjah Mariam Cafe (City Gate Mall)","Malaysian","4.3","(100+)","Singapore",""
"yia0","Snail Lion 广西正宗螺蛳粉 (Beach Rd)","4960 min","1.5","(3)","Singapore",""
"w6cb","黄大福 Huang Da Fu (Commonwealth Crescent)","Singaporean","4.4","(500+)","Singapore",""
"v8pl","Deen Tiga Rasa (Golden Mile Food Center)","Malaysian","4.6","(100+)","Singapore",""
"t10q","boomeranz nasi ayam & western cuisine - Golden Mile Food Centre (505 Beach Rd)","Fried Rice","4.3","(100+)","Singapore",""
"w5wv","Lao Huo Tang Restaurant (Nex)","Soups","4.5","(2000+)","Singapore",""
"c7kx","Mufiz Spice Restaurant (Boon Keng)","Indian","3.6","(100+)","Singapore",""
"tw4k","Mondo Mio Italian Restaurant & Wine Bar (30 Robertson Quay) - Islandwide Delivery","Pizza","2.8","(5)","Singapore",""
"dttc","Louisa Coffee (130 Beach Road)","4960 min","3.7","(5)","Singapore",""
"hn1m","Chef China 华厨 (Beach Road)","Chinese","4.1","(100+)","Singapore",""
"w1yb","The Book Cafe (Martin Road)","Western","4.8","(100+)","Singapore",""
"xz55","Burger & Lobster (Raffles Hotel) - Islandwide Delivery","Sushi","4.2","(100+)","Singapore",""
"fdsd","Tai Feng Wei (Serangoon) - Islandwide Delivery","Fried Rice","5","(1)","Singapore",""
"vyf7","ToriGo! (Serangoon) - Islandwide Delivery","Chicken","4.2","(27)","Singapore",""
"ycls","Ah Teo Minced Meat Noodles (Commonwealth Crescent)","Noodles","3.2","(36)","Singapore",""
"armb","ARIFF'S RESTAURANT - INDIAN FOOD PRATA CURRY HOUSE (253 Serangoon Central)","Indian","4.3","(100+)","Singapore",""
"p8dz","BeerThai House Restaurant (City Gate)","Thai","4.8","(25)","Singapore",""
"x5ru","D&Z Satay & Chicken Wing Specialist (Golden Mile Complex)","Satay","4.3","(100+)","Singapore",""
"x7qa","Ashes Burnnit (Golden Mile)","American","4.7","(500+)","Singapore",""
"kzuo","Thai Kup Baan Dee Dee (City Gate)","Thai","2.2","(9)","Singapore",""
"dnya","Ritz Apple Strudel (Nex Mall) - Islandwide Delivery","Cakes","4.8","(100+)","Singapore",""
"m5ju","Chan's Wanton Noodle And Fish Soup (262 Serangoon Central Drive)","Chinese","4.4","(37)","Singapore",""
"s1oh","Brotzeit (Raffles City)","German","4.4","(100+)","Singapore",""
"s3wh","Le Rida (Mediterranean French And North Indian Cuisine)","Indian","4.4","(100+)","Singapore",""
"ggul","Lucky Saigon Cafe (Tangling Road)","Vietnamese","4.8","(28)","Singapore",""
"s9qg","Yoshinoya (Nex)","Rice Dishes","4.6","(3000+)","Singapore",""
"v3rq","Toby's Estate (Rodky Street)","Western","4.7","(100+)","Singapore",""
"y8qm","Kingdom of Belgians (Rodky Street)","American","2.5","(26)","Singapore",""
"v7zs","Guan Chee HK Roast (NEX)","Chinese","4.4","(1000+)","Singapore",""
"sw9m","ADDA (Beach Road) - Restaurant Delivery","Indian","2.4","(45)","Singapore",""
"g39h","Riverside Indonesian Grill (Food Junction - NEX)","Grill","4.7","(500+)","Singapore",""
"pemz","Chong Qing Mala Xiang Guo 重庆麻辣香锅 (Beach Road)","Chinese","2.5","(4)","Singapore",""
"omwe","Tokyo Shokudo (Nex)","Japanese","4.6","(53)","Singapore",""
"nzgi","FAHRENHEIT COFFEE (Beach Road)","Coffee","4.2","(9)","Singapore",""
"bgl6","Tanamera Coffee (Rodyk Street)","Coffee","3.6","(28)","Singapore",""
"yq01","FAN FAN BAK KUT TEH & CLAYPOT RICE (NEX MALL)","Chinese","1","(2)","Singapore",""
"y8zp","Salaam Bombay (Robertson Quay)","Indian","3.5","(100+)","Singapore",""
"ut0c","So Ramen (Nex) - Islandwide Delivery","Ramen","4.8","(70)","Singapore",""
"c3wp","Fat Mario Pastas (Robertson Quay)","Pasta","4.7","(500+)","Singapore",""
"e6og","Botany (Robertson Quay)","Western","3.1","(46)","Singapore",""
"nbot","Putian Heng Hwa Cuisine (Nex)","Noodles","3.6","(100)","Singapore",""
"sqhi","Drinks / Juice / Desserts (Food Junction – Raffles City)","Dim Sum ","4.7","(26)","Singapore",""
"v8gb","Chai Fish Soup (NEX)","Seafood","4.5","(500+)","Singapore",""
"ffsq","What The Fish (Food Junction - NEX)","Seafood","4.4","(63)","Singapore",""
"y1zn","Sing Swee Kee Chicken Rice Restaurant (Seah St)","Chicken","4.5","(100+)","Singapore",""
"lr08","Fuyuan Mala (Upper Boon Keng Road)","Asian","4.8","(39)","Singapore",""
"nlcy","HanGrut (Concorde Shopping Centre)","Korean","4.8","(28)","Singapore",""
"jxco","CJ Ready-eat (Tiong Bahru)","Snacks","5","(7)","Singapore",""
"s57p","Xing Yun Hainanese boneless chicken rice (Clarke Quay)","Chinese","3.8","(69)","Singapore",""
"zd86","La Shi Ni Mala Xiang Guo 辣食你 (261 Serangoon Central Drive)","Mala Xiang Guo","4.6","(100+)","Singapore",""
"rlk5","Nasi Lemak Ayam Taliwang (River Valley)","Indonesian","4.4","(2)","Singapore",""
"v2pb","Pow Sing Kitchen (Serangoon Gardens Way)","Rice Dishes","4.4","(3000+)","Singapore",""
"v4td","Havelock Teochew Porridge (717 Havelock Rd)","Chinese","4.2","(1000+)","Singapore",""
"tgjf","Green Monster Salads (Holland Village)","American","3.8","(40)","Singapore",""
"ph8h","JB Tai Pai Tong Seafood (Serangoon)","Chinese","4.4","(100+)","Singapore",""
"pxsv","Wu Pao Chun (Capitol Piazza) - Islandwide Delivery","Bakery","4.8","(53)","Singapore",""
"y1zy","Boomarang Bistro & Bar (The Quayside)","Western","4.6","(100+)","Singapore",""
"v0ur","Vatos Urban Tacos (Beach Road)","Mexican","4.2","(100+)","Singapore",""
"xm59","Thai Ha Kitchen (Havelock Road)","Noodles","4.6","(28)","Singapore",""
"x1wn","ALT Pizza (Holland Ave)","Pizza","4.7","(500+)","Singapore",""
"s0dc","Sumo Salad (Holland Village)","Healthy","4.5","(1000+)","Singapore",""
"jf3t","GIOIA Pizza & Cheesesteak Panino(i) (Capitol Piazza)","Italian","4.5","(100+)","Singapore",""
"u066","Milkfish (Raffles City)","Soups","4.4","(100+)","Singapore",""
"bav8","Kin Ba Ba (Havelock Road)","Asian","4.6","(100+)","Singapore",""
"quww","Toast Junction (Food Junction - Raffles City)","Coffee","3.3","(100+)","Singapore",""
"o0kl","XW Western Grill (Raffles City Shopping Centre)","Western","4.2","(77)","Singapore",""
"cepd","Chun Yang Tea (13 Stamford Rd)","Bubble Tea","4.9","(32)","Singapore",""
"sl6i","Carrotsticks (Robertson Quay)","Western","5","(14)","Singapore",""
"fpji","S Luck Eating House (262 Serangoon Central)","Chinese","4.4","(100+)","Singapore",""
"v2ye","Soup Restaurant (Holland Village)","Chinese","4.6","(1000+)","Singapore",""
"h3vz","Cedele Bakery Kitchen (Raffles City)","Sandwiches","4.4","(100+)","Singapore",""
"b3xy","Panini Italiani by Da Paolo (Holland V)","Sandwiches","4.8","(100+)","Singapore",""
"v7nc","Ming Chu Chair Lao Ban 名厨車老板 (134 Casuarina Road)","Chinese","2.2","(2)","Singapore",""
"z468","88 Pocha (Lor Mambong)","Korean","4.1","(44)","Singapore",""
"s8nz","La Nonna (Holland Village)","Pizza","4.2","(500+)","Singapore",""
"z8vu","Kow Loon Hong Kong Dim Sum 九龙香港点心 (Ang Mo Kio Avenue 5)","Chinese","4.4","(500+)","Singapore",""
"x2vm","The Larder Cafe (Serangoon)","Singaporean","4.6","(100+)","Singapore",""
"cgbg","Tian Le Fish Soup Ban Mian (204 Serangoon Central)","Asian","4.4","(9)","Singapore",""
"kjoe","HHJ Korean & Japanese Cuisine - HHJ Kitchen (85 Dawson)","Seafood","4.6","(500+)","Singapore",""
"s6yh","Inle Myanmar (North Bridge Road)","Asian","4.5","(100+)","Singapore",""
"fpxi","Tenjin (Raffles City)","Pizza","4.7","(46)","Singapore",""
"oi97","British Indian Curry Hut (Lorong Mambong) - Islandwide Delivery","Indian","3.7","(3)","Singapore",""
"r44k","$5 Western (5 Upper Boon Keng)","Western","4.6","(17)","Singapore",""
"s2di","Casuarina Curry Restaurant (Casuarina Road)","Indian","4.3","(3000+)","Singapore",""
"w627","Tag Espresso (Raffles City)","Coffee","4.6","(7)","Singapore",""
"ft5j","Spizza (Havelock) - Islandwide Delivery","Pizza","3","(1)","Singapore",""
"kz8m","Rasa Sindo (Dawson Road)","Malaysian","4.1","(100+)","Singapore",""
"ffcy","Casuarina Bistro by GoMexico  (Casuarina Road)","Mexican","4.4","(43)","Singapore",""
"v5vb","Cha Cha Cha Mexican Restaurant (Lorong Mambong)","Mexican","4.6","(100+)","Singapore",""
"k6kq","33 Zhi Char (Lorong Liput)","Chinese","4.7","(100+)","Singapore",""
"x5mg","Soi 19 Thai Wanton Mee (Ang Mo Kio)","Noodles","4.5","(100+)","Singapore",""
"d9cz","Umi Nami (Lorong Mambong)","Japanese","5","(38)","Singapore",""
